Date,Open,High,Low,Close,Volume
2024-10-15,171,171,162.2,163,41000
2024-10-16,158.3,159,155.6,155.95,22000
2024-10-17,159,160.3,153,153.9,32000
2024-10-18,152.6,161,152,157.45,12000
2024-10-21,153,156,150.6,152,11000
2024-10-22,148.1,149.45,144,145,14000
2024-10-23,145,146.95,140.05,146.95,9000
2024-10-24,146.95,150,146.95,150,4000
2024-10-25,150,150,144.85,146.25,21000
2024-10-28,141.05,142.95,134,136,15000
2024-10-29,138.05,141.45,138.05,141.45,3000
2024-10-30,141,152.5,141,152,29000
2024-10-31,152.25,153,152,153,13000
2024-11-01,155,155,155,155,1000
2024-11-04,154,154,151.75,151.75,5000
2024-11-05,147,149.95,146.6,146.6,6000
2024-11-06,151.4,151.5,149,150,14000
2024-11-07,148,148,145,145.35,11000
2024-11-08,159,161,151.5,159.45,63000
2024-11-11,160.15,160.15,152.5,152.75,11000
2024-11-12,149,150.9,149,149.65,4000
2024-11-13,145,149,144,144,4000
2024-11-14,145,151,140,140.1,23000
2024-11-18,140.1,140.1,130.1,134.1,18000
2024-11-19,136.1,138.9,135,136.05,5000
2024-11-21,137.2,142,137.2,141,20000
2024-11-22,144,144,144,144,2000
2024-11-25,148,151.45,145,151.45,22000
2024-11-26,150.8,150.8,150.8,150.8,1000
2024-11-27,151.9,151.9,150,150,4000
2024-11-28,145.75,146,142.5,145,6000
2024-11-29,145,145,138.05,139.5,20000
2024-12-02,137,146,136.35,145.5,16000
2024-12-03,148.6,150.5,146,150.5,10000
2024-12-04,151.2,151.2,147,147,3000
2024-12-05,147.15,147.15,140,140.55,8000
2024-12-06,146.9,154.8,146.55,152.85,32000
2024-12-09,149,149,147,147,3000
2024-12-10,146,146,144.05,145.5,6000
2024-12-11,145.5,149.8,145.5,149.8,4000
2024-12-12,150,150,146,146,4000
2024-12-13,146,148,146,148,4000
2024-12-16,146,146,137.35,140.75,24000
2024-12-17,141.95,142.05,138.05,139.45,12000
2024-12-18,140,140,139.25,139.6,3000
2024-12-19,142.55,146,140.65,140.65,17000
2024-12-20,140,140.05,139.05,139.05,7000
2024-12-23,136.15,136.6,136.15,136.6,3000
2024-12-24,136.6,138,134,137.6,6000
2024-12-26,141.45,147.85,141.45,143,17000
2024-12-27,140.35,141.3,139,139,5000
2024-12-30,139,142,138,138,9000
2024-12-31,141.2,141.25,138.45,138.5,7000
2025-01-01,138.5,140.5,138.5,140.5,2000
2025-01-02,142.5,145.45,142.5,144,13000
2025-01-03,141,144,141,144,10000
2025-01-06,140.75,140.75,138.3,138.3,5000
2025-01-07,140,142,140,142,7000
