Date,Open,High,Low,Close,Volume
2015-09-07,32.4,32.4,31.5,31.9,12593
2015-09-08,32,32,30.5,31.15,48609
2015-09-09,32,32.3,31.15,31.75,16762
2015-09-10,31.5,31.7,30.8,31.15,20248
2015-09-11,31.5,31.6,31,31.3,19643
2015-09-14,31.5,32,31.3,31.45,10201
2015-09-15,31.5,31.7,31.05,31.25,17505
2015-09-16,31.45,31.55,31.05,31.5,4843
2015-09-18,31.5,32,31.4,31.75,9352
2015-09-21,31.6,32.5,31.5,31.95,12814
2015-09-22,31.8,32.95,31.2,31.4,23186
2015-09-23,31.85,31.85,31,31.75,11302
2015-09-24,32,32.1,31.35,31.95,11582
2015-09-28,32,32.5,31.5,32.05,4125
2015-09-29,32,32.75,31,32.05,11390
2015-09-30,32.5,32.6,31.15,31.7,29030
2015-10-01,32.15,32.15,31.25,31.7,26787
2015-10-05,32.15,32.15,31.45,31.65,76167
2015-10-06,32,32,31.5,31.8,22631
2015-10-07,31.9,31.9,31.35,31.6,56053
2015-10-08,31.65,32.05,31.2,31.65,165791
2015-10-09,32.15,32.15,31.35,31.55,44996
2015-10-12,32.1,32.1,31.5,31.7,17266
2015-10-13,32.05,32.05,31.3,31.85,26757
2015-10-14,31.95,33.9,31.6,33.1,125506
2015-10-15,34.3,34.3,32.8,33.15,38759
2015-10-16,33,33.25,32.55,32.85,24496
2015-10-19,32.8,34,32.75,33.1,67803
2015-10-20,33.5,33.5,32.55,33.05,69603
2015-10-21,33.4,33.4,32.7,32.95,47223
2015-10-23,33.5,33.5,32.5,32.95,57030
2015-10-26,32.75,33.2,31.2,31.85,1220146
2015-10-27,32.2,32.3,31.55,31.8,60434
2015-10-28,32.15,32.4,31.25,32.15,53559
2015-10-29,31.55,32.3,31.55,32,33590
2015-10-30,32.35,32.5,31.8,32.2,32430
2015-11-02,31.4,32.25,31.4,32.1,24675
2015-11-03,32.45,32.45,31.9,32.2,18621
2015-11-04,31.9,32.5,30.7,32,1417652
2015-11-05,32.25,32.25,31.2,31.7,44543
2015-11-06,32,32.05,31.1,31.75,30917
2015-11-09,32,32,31,31.85,25470
2015-11-10,32.2,32.3,31.55,32,36716
2015-11-11,31.55,34,31.55,33,74223
2015-11-13,33,33.7,32.15,33.2,32437
2015-11-16,34,36,32.4,33.35,47533
2015-11-17,34.4,34.4,33,33.5,100165
2015-11-18,33.5,33.8,33.3,33.5,138347
2015-11-19,33.6,33.7,33.05,33.4,27917
2015-11-20,33.2,33.7,32.9,33.1,16095
2015-11-23,33,33.8,32.6,33.15,77973
2015-11-24,33.3,33.75,32.7,33.45,37924
2015-11-26,33.45,33.6,33,33.35,22606
2015-11-27,33.5,33.8,33.2,33.75,21592
2015-11-30,33.75,33.75,33.15,33.5,39229
2015-12-01,34.8,34.8,33.1,33.45,19552
2015-12-02,33.45,38.8,33.45,37.25,532924
2015-12-03,36.9,44.7,36.8,42.5,2376204
2015-12-04,42.9,46.8,42.9,43.85,3405529
2015-12-07,45,45.45,41.6,42.55,545792
2015-12-08,42.85,42.85,38.7,39.1,514494
2015-12-09,38.5,39.35,35.3,36,818648
2015-12-10,36.45,39.8,36.45,39.05,332385
2015-12-11,40,40,38.4,39.45,230544
2015-12-16,40.8,40.8,39,39.8,137031
2015-12-17,40,42.9,39.75,41.4,318409
2015-12-18,41.15,42,40.3,41,211759
2015-12-21,40.4,42,40.1,40.85,254818
2015-12-22,41,42.45,40.5,41.6,497516
2015-12-23,41.8,44.2,40.9,41.2,222342
2015-12-24,42.7,44,39.35,40.45,2836138
2015-12-28,41,41,39.15,39.7,500124
2015-12-29,39.8,40.8,39.1,40.4,497350
2015-12-30,40.55,40.9,39.4,40.15,357709
2015-12-31,40.2,40.2,39.1,39.4,93882
2016-01-01,39.05,40.6,39,39.3,377465
2016-01-04,39.4,39.7,37.2,37.85,223851
2016-01-05,37.6,38.75,37.15,38.25,160076
2016-01-06,38.1,39.4,37.5,37.85,134026
2016-01-07,37.7,38.35,36,36.6,151157
2016-01-08,37.7,37.7,36.2,36.65,70501
2016-01-11,36.35,36.85,35.3,35.65,102015
2016-01-12,36,37.8,35.55,36.15,159123
2016-01-13,36.95,36.95,33.5,34.5,178452
2016-01-14,33,34.95,32.65,34.65,96388
2016-01-15,35.75,35.75,34,34.3,108678
2016-01-18,34.95,35,32.6,32.9,129663
2016-01-19,32.8,38.9,31.7,38,344422
2016-01-20,36.25,36.85,34.6,36.25,134810
2016-01-21,37.35,37.35,35.5,36.1,84753
2016-01-22,37,37.2,35.3,35.8,69416
2016-01-25,35.5,36.9,35.5,35.9,26966
2016-01-27,36.1,36.65,35.65,35.95,22613
2016-01-28,36.2,36.3,35.6,35.9,53651
2016-01-29,35,36.35,35,36,23954
2016-02-01,36.4,36.85,35.4,35.9,47604
2016-02-02,37.9,37.9,36.2,37.3,246976
2016-02-03,36.5,36.9,35,35.3,79157
2016-02-04,35.7,36,34.1,35.55,111767
2016-02-05,35,36,35,35.9,43013
