Date,Open,High,Low,Close,Volume
2024-02-27,110,114.5,104.5,105.15,2163200
2024-02-28,99.9,99.9,99.9,99.9,195200
2024-02-29,94.9,98.95,94.9,95.8,632000
2024-03-01,96.5,97,91.1,91.65,160000
2024-03-02,89.2,96.2,89.2,96.2,73600
2024-03-04,100,101,95,100.8,345600
2024-03-05,97.35,98.5,95.8,95.8,44800
2024-03-06,91.05,91.05,91.05,91.05,24000
2024-03-07,88.1,92,86.5,88.15,180800
2024-03-11,85.9,87,83.75,83.75,118400
2024-03-12,80.2,80.2,79.6,79.6,38400
2024-03-13,76.3,78.5,63.7,63.7,440000
2024-03-14,58.6,72.5,54.2,66.85,308800
2024-03-15,66.8,69.45,62,64.8,196800
2024-03-18,65,67,62,66.7,134400
2024-03-19,65.8,67,64.3,65.6,64000
2024-03-20,66.6,68.6,61.55,62,156800
2024-03-21,62.1,65.5,62,63.8,72000
2024-03-22,61.7,69,61.7,66.2,107200
2024-03-26,67,68.9,66.05,67.65,73600
2024-03-27,67.2,67.65,63,64,73600
2024-03-28,64,65.25,62.15,62.7,91200
2024-04-01,66.6,75.2,52.8,65.6,787200
2024-04-02,66,69.65,65.25,68.2,123200
2024-04-03,71,71,68.3,69.1,120000
2024-04-04,69.1,70.75,67,67.05,120000
2024-04-05,67.95,68.9,67.15,67.9,96000
2024-04-08,68.05,68.6,65.9,66.4,38400
2024-04-09,66.4,67.7,64.35,66,38400
2024-04-10,66.3,66.3,64,64.7,52800
2024-04-12,64.7,65.15,62.6,63.9,70400
2024-04-15,61.5,63.35,60,60.95,52800
2024-04-16,61.1,64.45,61.1,63.65,44800
2024-04-18,66.45,66.45,62.65,62.9,22400
2024-04-19,62.3,62.65,61.1,62.65,43200
2024-04-22,62.65,63.05,60.9,61.9,59200
2024-04-23,61.9,63.4,61.6,62.75,36800
2024-04-24,63,65.25,63,64.5,46400
2024-04-25,64.7,65.25,63.75,64.15,28800
2024-04-26,65,65,62,62.85,36800
2024-04-29,62,66,62,64.35,52800
2024-04-30,64,65,64,64.1,36800
2024-05-02,64.2,65.5,63.45,63.65,38400
2024-05-03,64,65.55,63.65,64.4,49600
2024-05-06,64.4,64.4,62.9,63,38400
2024-05-07,62.8,64,60,62.3,84800
2024-05-08,61.05,65,61.05,63.3,100800
2024-05-09,62.6,63.95,61.75,61.85,43200
2024-05-10,62.75,62.75,61.25,61.35,17600
2024-05-13,61.85,62,59.3,59.6,51200
2024-05-14,60,61.95,59.5,60.1,70400
2024-05-15,61.5,65,61.5,63.8,46400
2024-05-16,63.7,66,62.45,65.75,100800
2024-05-17,66,77.4,66,75.25,206400
2024-05-18,75.85,79,75.5,78.15,99200
2024-05-21,79,81,74.05,76.65,160000
2024-05-22,75.05,75.05,71.4,72.9,96000
2024-05-23,72.8,72.8,61.1,65.2,265600
2024-05-24,65.5,69.9,65.5,67.25,94400
2024-05-27,69.9,69.9,66,66.1,160000
2024-05-28,66.4,66.5,65.25,65.25,14400
2024-05-29,61.3,69,61.3,67.75,126400
2024-05-30,64.25,66.55,63,65,105600
2024-05-31,65.95,66,63.1,63.75,38400
2024-06-03,67,68,63.6,64.15,40000
2024-06-04,63,63.95,55.2,60.65,64000
2024-06-05,61,65.1,61,63.35,40000
2024-06-06,66.2,66.2,62.05,62.35,16000
2024-06-07,64.6,66.35,64,64.6,51200
2024-06-10,66.1,67,64.65,64.85,46400
2024-06-11,64.85,66.05,63.5,64.65,24000
2024-06-12,66.1,67,65.15,65.15,22400
2024-06-13,65.95,66.35,65.6,66.3,14400
2024-06-14,66.3,67.6,65.15,66.75,51200
2024-06-18,66.85,67,62.9,63.4,112000
2024-06-19,63.9,65.8,63.05,63.25,43200
2024-06-20,63.4,64.15,63.2,63.45,30400
2024-06-21,64.2,64.2,62.05,63,43200
2024-06-24,63.05,63.8,62.2,62.65,35200
2024-06-25,63.8,63.8,62.85,63,20800
2024-06-26,64.05,64.05,63.05,63.15,20800
2024-06-27,63.35,64.25,63.35,63.4,25600
2024-06-28,64.9,64.9,62.55,63,22400
2024-07-01,63.2,64.6,63.2,63.5,20800
2024-07-02,62.2,63.4,62.2,62.5,25600
2024-07-03,62.25,63.8,62.25,63.35,30400
2024-07-04,64.3,64.95,63.7,64.35,38400
2024-07-05,64.35,64.5,63.55,63.75,24000
2024-07-08,64.85,64.85,63,63.2,41600
2024-07-09,64.55,64.6,62.95,63.1,40000
2024-07-10,64.05,65,62,63.25,102400
2024-07-11,63.8,63.8,63.25,63.25,16000
2024-07-12,63.8,63.85,63,63.3,124800
2024-07-15,65.2,75.95,65.2,75.95,606400
2024-07-16,78,88.8,77.9,82.45,624000
2024-07-18,83.8,83.8,79,81.1,230400
2024-07-19,79.05,81,75.2,78.35,116800
2024-07-22,78.5,83.55,77,83.25,200000
2024-07-23,84,84.1,77,78.45,150400
2024-07-24,80,81.6,80,80.35,48000
2024-07-25,80.35,91.7,78.55,89.35,552000
2024-07-26,91.1,93.3,89,90.05,206400
2024-07-29,90.25,90.25,87,87.3,121600
2024-07-30,87,89.4,86.05,88.5,89600
2024-07-31,88.5,90.8,87.35,89.7,212800
2024-08-01,91,92.35,88.5,88.8,116800
2024-08-02,88,88,86,87.95,76800
2024-08-05,82,86.9,82,82.65,65600
