Date,Open,High,Low,Close,Volume,DateTime
2025-03-09,14140,14240,13721,13802,14995,
2025-03-10,11388,11626.05,11250,11285.9,9880,100320250000
2025-03-11,11251,11289.15,11025.1,11232.45,6033,110320250000
2025-03-12,11256.5,11442.2,11215.05,11399.45,6278,120320250000
2025-03-13,11398,12049.8,11257.7,11883.05,18799,130320250000
2025-03-17,11700,12175,11700,12103,11473,170320250000
2025-03-18,12230,12444,12001.55,12370.75,13136,180320250000
2025-03-19,12400,12400,12001,12089.85,6847,190320250000
2025-03-20,12089.85,12254.95,11840,11869.5,8394,200320250000
2025-03-21,11855,12050,11847.45,11983.75,7293,210320250000
2025-03-24,12081,12263,12000.05,12049.65,14308,240320250000
2025-03-25,12116.95,12200.45,11900.1,11997.2,13201,250320250000
2025-03-26,12100,12850,12100,12689.15,143145,260320250000
2025-03-27,12821,12885,12374.45,12654.95,62872,270320250000
2025-03-28,12600,13565.4,12600,12993.55,62717,280320250000
2025-04-01,12798.65,13300.05,12782.3,13100.65,22034,010420250000
2025-04-02,12950,13306.95,12800.05,13248.2,14592,020420250000
2025-04-03,13053,13240.6,12875.05,13138.9,14746,030420250000
2025-04-04,13199.95,13250,12630.05,13136.3,11928,040420250000
2025-04-07,12025,12900,12025,12767.95,17376,070420250000
2025-04-08,13000,13098.15,12649.95,12724.6,7467,080420250000
2025-04-09,12700,12831.95,12009.4,12074.2,13418,090420250000
2025-04-11,12295,12665.45,12264.05,12449.2,13656,110420250000
2025-04-15,12449,13289,12417,13204,11435,150420250000
2025-04-16,13247,13594,13146,13488,11459,160420250000
2025-04-17,13500,13669,13151,13301,9396,170420250000
2025-04-21,13485,13537,12977,13045,8088,210420250000
2025-04-22,13045,13470,12905,12978,20460,220420250000
2025-04-23,12901,12980,12638,12899,13311,230420250000
2025-04-24,12899,13261,12899,13090,6911,240420250000
2025-04-25,13165,13187,12484,12611,10359,250420250000
2025-04-28,12600,12790,12523,12586,4809,280420250000
2025-04-29,12714,12719,12402,12439,6359,290420250000
2025-04-30,12510,12700,12340,12527,20778,300420250000
2025-05-02,12460,12600,12102,12167,8820,020520250000
2025-05-05,12240,12287,12082,12136,5341,050520250000
2025-05-06,12250,12304,12004,12064,6161,060520250000
2025-05-07,12001,12481,12000,12425,6226,070520250000
2025-05-08,12301,12760,12301,12632,9645,080520250000
2025-05-09,12410,12648,12211,12541,5876,090520250000
2025-05-12,12720,13008,12720,12966,4198,120520250000
2025-05-13,13094,13243,12878,13137,5958,130520250000
