Date,Open,High,Low,Close,Volume
2020-07-09,153.2,153.2,146.2,150.05,8938
2020-08-09,150.1,151.5,148.5,150.15,4358
2020-09-09,149.0,150.55,144.05,148.1,24717
2020-10-09,148.15,150.75,147.15,149.35,9561
2020-11-09,150.0,150.0,147.5,148.05,23924
2020-01-10,149.15,149.2,144.95,145.3,3121
2020-05-10,148.0,148.9,143.5,143.95,6977
2020-06-10,147.5,147.5,143.85,145.85,10220
2020-07-10,146.85,147.85,145.3,146.15,1038
2020-08-10,146.95,147.0,145.1,145.75,2837
2020-09-10,145.95,147.9,145.3,146.1,1125
2020-12-10,147.7,147.7,145.1,145.65,1516
2020-02-11,138.0,138.95,137.0,137.25,14139
2020-03-11,138.3,138.7,136.95,137.8,12202
2020-04-11,138.0,139.5,138.0,138.7,12354
2020-05-11,136.5,139.6,136.0,137.15,12196
2020-06-11,139.45,139.5,136.8,138.7,13051
2020-09-11,142.7,142.7,135.9,138.35,17042
2020-10-11,140.95,141.0,137.0,138.35,27036
2020-11-11,138.35,139.15,136.25,138.5,18574
2020-12-11,139.7,139.75,137.55,138.7,9247
2020-01-12,147.15,148.0,142.0,144.4,18633
2020-02-12,144.15,146.75,142.25,143.25,12750
2020-03-12,143.0,145.95,141.0,141.5,19199
2020-04-12,144.8,145.0,141.0,141.8,8849
2020-07-12,144.0,144.0,139.8,140.2,30008
2020-08-12,143.2,143.2,140.1,141.95,17171
2020-09-12,141.05,145.6,140.1,141.85,30305
2020-10-12,144.0,147.5,140.0,143.4,50761
2020-11-12,143.4,154.0,141.1,149.55,70788
2021-01-01,179.35,184.9,176.2,178.05,76262
2021-04-01,179.1,188.0,179.05,182.75,145037
2021-05-01,182.45,182.45,164.25,170.4,108043
2021-06-01,168.05,172.9,163.4,167.2,45074
2021-07-01,169.95,175.0,166.65,167.85,22643
2021-08-01,167.35,170.0,165.1,166.25,8676
2021-11-01,152.0,175.0,152.0,167.95,54753
2021-12-01,169.8,169.8,164.0,167.05,13193
2021-01-02,155.6,157.95,152.0,153.35,6705
2021-02-02,155.4,159.15,154.45,154.65,8350
2021-03-02,158.05,158.2,152.85,155.65,5617
2021-04-02,156.95,157.0,152.0,152.9,5997
2021-05-02,154.75,154.75,150.5,151.2,6043
2021-08-02,151.95,161.95,151.8,157.15,37367
2021-09-02,156.0,156.45,152.5,152.95,3756
2021-10-02,154.75,156.0,152.75,153.05,1674
2021-11-02,152.5,154.95,152.05,152.65,3066
2021-12-02,155.9,156.9,150.0,150.9,7610
2021-01-03,156.95,156.95,152.35,153.2,7218
2021-02-03,154.1,154.95,150.05,153.0,10298
2021-03-03,153.4,155.0,151.5,152.15,13870
2021-04-03,152.9,156.0,151.0,151.8,14832
2021-05-03,153.2,153.55,149.0,151.0,11029
2021-08-03,150.95,152.35,147.4,150.7,19658
2021-09-03,150.95,151.0,146.45,146.9,12658
2021-10-03,148.0,154.8,148.0,150.6,11572
2021-12-03,152.9,153.0,148.0,149.9,8000
2021-01-04,143.9,145.9,141.0,144.85,23104
2021-05-04,144.05,144.05,139.0,142.05,20822
2021-06-04,142.25,159.9,140.35,153.8,92029
2021-07-04,158.0,158.0,147.8,149.8,37711
2021-08-04,153.9,153.9,146.2,147.4,23269
2021-09-04,150.35,150.35,147.0,147.65,12888
2021-12-04,145.0,147.95,143.6,143.95,15032
2021-03-05,152.5,156.95,149.55,155.05,11403
2021-04-05,153.05,156.0,151.1,152.25,12695
2021-05-05,157.75,157.75,151.55,152.35,6377
2021-06-05,156.9,156.9,150.0,151.9,10133
2021-07-05,155.9,155.9,151.0,153.35,5895
2021-10-05,158.9,158.9,152.5,153.25,11365
2021-11-05,155.0,155.0,149.45,152.25,8050
2021-12-05,155.0,155.0,150.75,151.75,9196
2021-01-06,155.7,155.7,149.05,151.0,18694
2021-02-06,154.9,166.0,151.1,162.75,96183
2021-03-06,195.3,195.3,180.0,183.75,470978
2021-04-06,184.0,184.0,160.0,173.6,121798
2021-07-06,173.0,179.85,166.1,172.15,56549
2021-08-06,172.2,173.0,164.75,166.3,38399
2021-09-06,171.0,171.0,165.2,165.8,23160
