Date,Open,High,Low,Close,Volume,DateTime
2025-03-09,310,325.45,310,319.6,165456,
2025-03-10,253,257.59,241.3,242.64,40886,100320250000
2025-03-11,242.9,246,239.01,240.75,73826,110320250000
2025-03-12,240.75,243.99,236.89,238.26,66898,120320250000
2025-03-13,239,240.01,234.1,235.32,42464,130320250000
2025-03-17,235.3,245.45,232.05,236.23,76342,170320250000
2025-03-18,237.95,240.94,236.47,238.04,87583,180320250000
2025-03-19,238.05,245.79,238.05,241.79,193170,190320250000
2025-03-20,243,251.89,242,243.08,80681,200320250000
2025-03-21,242.55,250.5,242.55,248.97,100302,210320250000
2025-03-24,249.85,260.85,249.85,253.79,86601,240320250000
2025-03-25,255.05,256.79,243,245.08,88988,250320250000
2025-03-26,243.75,248.11,237,240.53,118588,260320250000
2025-03-27,240,241.34,233.55,235.27,84730,270320250000
2025-03-28,235.27,244.25,233.02,234.18,113468,280320250000
2025-04-01,234,240,233.16,238.76,33260,010420250000
2025-04-02,239.85,260,234.5,255.35,128298,020420250000
2025-04-03,252,264.97,252,261.68,87640,030420250000
2025-04-04,261.4,261.65,244.95,246.57,79593,040420250000
2025-04-07,230,238.85,229.99,237.82,66473,070420250000
2025-04-08,242,248.39,236.2,244.91,95081,080420250000
2025-04-09,245,247.23,238,239.05,72253,090420250000
2025-04-11,246,249.7,244.08,247.04,42841,110420250000
2025-04-15,248.3,263.4,248.3,259.73,105116,150420250000
2025-04-16,260.1,274.85,260.09,269.5,182512,160420250000
2025-04-17,270,283.88,270,281.12,159399,170420250000
2025-04-21,282.81,324,280,304.43,754863,210420250000
2025-04-22,308,308.56,294.51,302.12,178457,220420250000
2025-04-23,302.1,307.01,291.99,299.56,71572,230420250000
2025-04-24,296,316.5,296,306.44,237392,240420250000
2025-04-25,307.95,309.15,289.83,293.19,151761,250420250000
2025-04-28,294.18,299.5,288.85,295.89,94962,280420250000
2025-04-29,300.35,300.35,290.1,291.52,36936,290420250000
2025-04-30,290.01,291.23,282.5,284.66,34645,300420250000
2025-05-02,281.1,289.3,279.15,281.85,33576,020520250000
2025-05-05,285.3,289,281.85,287.2,71639,050520250000
2025-05-06,288.95,288.95,274,277.75,75269,060520250000
2025-05-07,276,285,275,284.25,47419,070520250000
2025-05-08,284.95,293.05,277.3,281.2,37239,080520250000
2025-05-09,269.45,279.75,266.5,274.5,84251,090520250000
2025-05-12,287.95,293,281.05,289.25,43773,120520250000
2025-05-13,289.25,295.85,288.2,292.7,46531,130520250000
2025-05-14,292.75,301.95,292.75,297.25,67266,140520250000
2025-05-15,298,304.1,295,296.2,55722,150520250000
2025-05-16,297.4,301.1,294.2,296.75,40699,160520250000
2025-05-19,297.75,310.1,295.5,297.85,96772,190520250000
2025-05-20,298.85,303.8,291.4,293.2,53670,200520250000
2025-05-21,290.3,296.4,288.1,294.05,41387,210520250000
2025-05-22,291.5,296.45,289.1,293.3,17296,220520250000
2025-05-23,294,298.95,291.5,297.45,40179,230520250000
2025-05-26,300.55,305.8,294.8,298.1,86999,260520250000
2025-05-27,299.15,301,293.75,299.1,47619,270520250000
2025-05-28,295,295.15,282.35,283.55,121220,280520250000
2025-05-29,286.25,288.05,282.15,285,38316,290520250000
2025-05-30,285.7,285.7,281.4,282.4,28874,300520250000
2025-06-02,280.05,286,279.8,281.85,34803,020620250000
2025-06-03,283.7,295.75,281.15,283.75,174605,030620250000
2025-06-04,285.15,286.95,282,285.25,40811,040620250000
2025-06-05,286,293.75,284.05,288.5,52194,050620250000
2025-06-06,289.45,290.1,281,285.35,40279,060620250000
2025-06-09,285.5,289,283.6,285.35,83409,090620250000
2025-06-10,286.5,290.2,285.75,287.75,23727,100620250000
2025-06-11,287.75,294.65,284.05,286.9,96503,110620250000
2025-06-12,287.8,290.2,284,286.4,58552,120620250000
2025-06-13,282.1,285.45,278.55,283.85,38680,130620250000
2025-06-16,285.25,285.25,277.6,282.2,25758,160620250000
2025-06-17,282,286.65,279.45,281.25,30808,170620250000
2025-06-18,281.95,282.65,277.1,280.3,28851,180620250000
2025-06-19,280.1,280.7,270,272.8,23669,190620250000
2025-06-20,270.1,277.4,270.1,275.8,22574,200620250000
2025-06-23,273,285.05,270.05,283.05,39437,230620250000
2025-06-24,288.9,289.6,280,282,46804,240620250000
2025-06-25,283.4,291,283.1,289.45,51534,250620250000
2025-06-26,290.5,296,286,287.9,115491,260620250000
2025-06-27,288,288.4,284.45,285.4,28006,270620250000
